FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006
UR1US,US,000,02,0001006,99,0,0,0,99,0
UR1US,US,000,02,0001007,7676,27,27,0,7649,0
UR1US,US,000,02,0001011,23106,21988,21988,0,1118,0
UR1US,US,000,02,0001012,771,713,713,0,58,0
UR1US,US,000,02,0001013,4,3,3,0,1,0
UR1US,US,000,02,0001014,17033,15778,15778,0,1255,0
UR1US,US,000,02,0001015,10744,9669,9669,0,1075,0
UR1US,US,000,02,0001016,3038,2885,2885,0,153,0
UR1US,US,000,02,0001017,3465,3327,3327,0,138,0
UR1US,US,000,02,0001018,10501,5621,5621,0,4880,0
UR1US,US,000,02,0001022,2804,127,127,0,2677,0
UR1US,US,000,02,0001023,47,0,0,0,47,0
UR1US,US,000,02,0001024,164,164,164,0,0,0
UR1US,US,000,02,0001025,811,0,0,0,811,0
UR1US,US,000,02,0001026,3522,978,978,0,2544,0
UR1US,US,000,02,0001030,12497,12126,12126,0,371,0
UR1US,US,000,02,0001031,6225,460,460,0,5765,0
UR1US,US,000,02,0001035,1170,0,0,0,1170,0
UR1US,US,000,02,0001036,56,31,31,0,25,0
UR1US,US,000,02,0001037,3389,0,0,0,3389,0
UR1US,US,000,02,0001041,407,0,0,0,407,0
UR1US,US,000,02,0001042,4878,3646,0,3646,1232,0
UR1US,US,000,02,0001043,2210,20,0,20,2190,0
UR1US,US,000,02,0001050,141,0,0,0,141,0
UR1US,US,000,02,0001051,199,0,0,0,199,0
UR1US,US,000,02,0001052,168,0,0,0,168,0
UR1US,US,000,02,0001053,2029,0,0,0,2029,0
UR1US,US,000,02,0001057,3003,0,0,0,3003,0
UR1US,US,000,02,0001058,2424,0,0,0,2424,0
UR1US,US,000,02,0001062,2423,886,0,886,1537,0
UR1US,US,000,02,0001063,5501,5389,0,5389,112,0
UR1US,US,000,02,0001064,2037,395,0,395,1642,0
UR1US,US,000,02,0001068,192,0,0,0,192,0
UR1US,US,000,02,0001069,201,0,0,0,201,0
UR1US,US,000,02,0001070,689,0,0,0,689,0
UR1US,US,000,02,0001074,123,0,0,0,123,0
UR1US,US,000,02,0001075,117,108,0,108,9,0
UR1US,US,000,02,0001076,967,957,0,957,10,0
UR1US,US,000,02,0001077,9524,9162,0,9162,362,0
UR1US,US,000,02,0001078,3235,502,0,502,2733,0
UR1US,US,000,02,0001082,98,0,0,0,98,0
UR1US,US,000,02,0001083,1144,0,0,0,1144,0
UR1US,US,000,02,0001090,182,0,0,0,182,0
UR1US,US,000,02,0001091,1819,618,0,618,1201,0
UR1US,US,000,02,0001092,144,0,0,0,144,0
UR1US,US,000,02,0001093,5059,0,0,0,5059,0
UR1US,US,000,02,0001097,1,1,0,1,0,0
UR1US,US,000,02,0001098,3489,2164,0,2164,1325,0
UR1US,US,000,02,0001099,0,0,0,0,0,0
UR1US,US,000,02,0001100,4762,489,0,489,4273,0
UR1US,US,000,02,0001104,21,0,0,0,21,0
UR1US,US,000,02,0001105,1027,301,0,301,726,0
UR1US,US,000,02,0001106,537,0,0,0,537,0
UR1US,US,000,02,0001107,3976,134,0,134,3842,0
UR1US,US,000,02,0001111,238,0,0,0,238,0
UR1US,US,000,02,0001112,4734,0,0,0,4734,0
UR1US,US,000,02,0001119,8582,5380,0,5380,3202,0
UR1US,US,000,02,0001120,5747,297,0,297,5450,0
UR1US,US,000,02,0001124,3261,0,0,0,3261,0
UR1US,US,000,02,0001128,96,0,0,0,96,0
UR1US,US,000,02,0001129,2561,0,0,0,2561,0
UR1US,US,000,02,0001130,1980,108,0,108,1872,0
UR1US,US,000,02,0001131,9605,0,0,0,9605,0
UR1US,US,000,02,0001135,708,0,0,0,708,0
UR1US,US,000,02,0001136,2194,0,0,0,2194,0
UR1US,US,000,02,0001140,24,0,0,0,24,0
UR1US,US,000,02,0001141,3784,0,0,0,3784,0
UR1US,US,000,02,0001145,37,0,0,0,37,0
UR1US,US,000,02,0001146,5064,0,0,0,5064,0
UR1US,US,000,02,0001153,1894,0,0,0,1894,0
UR1US,US,000,02,0001154,0,0,0,0,0,0
UR1US,US,000,02,0001155,2529,0,0,0,2529,0
UR1US,US,000,02,0001159,215,0,0,0,215,0
UR1US,US,000,02,0001160,94,0,0,0,94,0
UR1US,US,000,02,0001161,137,0,0,0,137,0
UR1US,US,000,02,0001162,3433,0,0,0,3433,0
UR1US,US,000,02,0001166,539,0,0,0,539,0
UR1US,US,000,02,0001167,221,0,0,0,221,0
UR1US,US,000,02,0001168,2424,0,0,0,2424,0
UR1US,US,000,02,0001172,153,0,0,0,153,0
UR1US,US,000,02,0001173,452,0,0,0,452,0
UR1US,US,000,02,0001174,1768,0,0,0,1768,0
UR1US,US,000,02,0001181,352,0,0,0,352,0
UR1US,US,000,02,0001182,977,0,0,0,977,0
UR1US,US,000,02,0001186,272,0,0,0,272,0
UR1US,US,000,02,0001187,0,0,0,0,0,0
UR1US,US,000,02,0001188,1488,0,0,0,1488,0
UR1US,US,000,02,0001192,1570,0,0,0,1570,0
UR1US,US,000,02,0001193,150,0,0,0,150,0
UR1US,US,000,02,0001194,3768,0,0,0,3768,0
UR1US,US,000,02,0001198,5228,2920,0,2920,2308,0
UR1US,US,000,02,0001199,2495,0,0,0,2495,0
UR1US,US,000,02,0001203,4209,3279,0,3279,930,0
UR1US,US,000,02,0001204,2304,6,0,6,2298,0
UR1US,US,000,02,0001208,65,0,0,0,65,0
UR1US,US,000,02,0001209,43,0,0,0,43,0
UR1US,US,000,02,0001210,2912,0,0,0,2912,0
UR1US,US,000,02,0001217,2037,0,0,0,2037,0
UR1US,US,000,02,0001218,0,0,0,0,0,0
UR1US,US,000,02,0001219,9,0,0,0,9,0
UR1US,US,000,02,0001220,4082,0,0,0,4082,0
UR1US,US,000,02,0001224,197,0,0,0,197,0
UR1US,US,000,02,0001225,2395,0,0,0,2395,0
UR1US,US,000,02,0001226,2732,0,0,0,2732,0
UR1US,US,000,02,0001230,545,0,0,0,545,0
UR1US,US,000,02,0001231,269,0,0,0,269,0
UR1US,US,000,02,0001232,1666,0,0,0,1666,0
UR1US,US,000,02,0001239,14,0,0,0,14,0
UR1US,US,000,02,0001240,284,0,0,0,284,0
UR1US,US,000,02,0001241,2386,0,0,0,2386,0
UR1US,US,000,02,0001245,188,0,0,0,188,0
UR1US,US,000,02,0001246,3480,0,0,0,3480,0
UR1US,US,000,02,0001247,608,0,0,0,608,0
UR1US,US,000,02,0001248,3345,0,0,0,3345,0
UR1US,US,000,02,0001252,409,0,0,0,409,0
UR1US,US,000,02,0001253,4258,0,0,0,4258,0
UR1US,US,000,02,0001260,3940,0,0,0,3940,0
UR1US,US,000,02,0001261,2770,0,0,0,2770,0
UR1US,US,000,02,0001265,26139,24737,0,24737,1402,0
UR1US,US,000,02,0001266,1146,0,0,0,1146,0
UR1US,US,000,02,0001267,8208,1638,0,1638,6570,0
UR1US,US,000,02,0001271,2286,0,0,0,2286,0
UR1US,US,000,02,0001275,2057,0,0,0,2057,0
UR1US,US,000,02,0001279,540,0,0,0,540,0
UR1US,US,000,02,0001280,1021,0,0,0,1021,0
UR1US,US,000,02,0001284,1841,0,0,0,1841,0
UR1US,US,000,02,0001291,1048,0,0,0,1048,0
UR1US,US,000,02,0001292,2894,0,0,0,2894,0
UR1US,US,000,02,0001296,729,0,0,0,729,0
UR1US,US,000,02,0001297,9,0,0,0,9,0
UR1US,US,000,02,0001298,7515,0,0,0,7515,0
UR1US,US,000,02,0001302,1011,471,0,471,540,0
UR1US,US,000,02,0001303,24,13,13,0,11,0
UR1US,US,000,02,0001304,7264,0,0,0,7264,0
UR1US,US,000,02,0001308,13137,12287,12287,0,850,0
UR1US,US,000,02,0001309,9039,9039,9039,0,0,0
UR1US,US,000,02,0001310,8399,8218,8218,0,181,0
UR1US,US,000,02,0001311,3359,509,509,0,2850,0
UR1US,US,000,02,0001318,583,0,0,0,583,0
UR1US,US,000,02,0001319,38,0,0,0,38,0
UR1US,US,000,02,0001320,2630,0,0,0,2630,0
UR1US,US,000,02,0001324,3906,2520,0,2520,1386,0
UR1US,US,000,02,0001325,1856,0,0,0,1856,0
UR1US,US,000,02,0001329,1808,0,0,0,1808,0
UR1US,US,000,02,0001333,282,0,0,0,282,0
UR1US,US,000,02,0001334,1449,0,0,0,1449,0
UR1US,US,000,02,0001338,8,0,0,0,8,0
UR1US,US,000,02,0001339,668,0,0,0,668,0
UR1US,US,000,02,0001346,1475,0,0,0,1475,0
UR1US,US,000,02,0001347,217,0,0,0,217,0
UR1US,US,000,02,0001348,2264,0,0,0,2264,0
UR1US,US,000,02,0001352,658,0,0,0,658,0
UR1US,US,000,02,0001353,443,0,0,0,443,0
UR1US,US,000,02,0001354,477,0,0,0,477,0
UR1US,US,000,02,0001355,2078,0,0,0,2078,0
UR1US,US,000,02,0001359,371,0,0,0,371,0
UR1US,US,000,02,0001360,1767,0,0,0,1767,0
UR1US,US,000,02,0001361,282,0,0,0,282,0
UR1US,US,000,02,0001362,1507,0,0,0,1507,0
UR1US,US,000,02,0001369,9015,6507,0,6507,2508,0
UR1US,US,000,02,0001370,603,0,0,0,603,0
UR1US,US,000,02,0001371,254,148,0,148,106,0
UR1US,US,000,02,0001372,3,0,0,0,3,0
UR1US,US,000,02,0001373,117,0,0,0,117,0
UR1US,US,000,02,0001374,487,0,0,0,487,0
UR1US,US,000,02,0001375,526,0,0,0,526,0
UR1US,US,000,02,0001376,241,0,0,0,241,0
UR1US,US,000,02,0001377,7249,0,0,0,7249,0
UR1US,US,000,02,0001381,297,0,0,0,297,0
UR1US,US,000,02,0001382,1549,0,0,0,1549,0
UR1US,US,000,02,0001386,1980,0,0,0,1980,0
UR1US,US,000,02,0001387,516,0,0,0,516,0
UR1US,US,000,02,0001388,1188,0,0,0,1188,0
UR1US,US,000,02,0001392,225,0,0,0,225,0
UR1US,US,000,02,0001393,184,0,0,0,184,0
UR1US,US,000,02,0001394,6659,4806,0,4806,1853,0
UR1US,US,000,02,0001395,2539,0,0,0,2539,0
UR1US,US,000,02,0001399,222,0,0,0,222,0
UR1US,US,000,02,0001400,3911,0,0,0,3911,0
UR1US,US,000,02,0001407,809,0,0,0,809,0
UR1US,US,000,02,0001408,329,0,0,0,329,0
UR1US,US,000,02,0001409,1951,0,0,0,1951,0
UR1US,US,000,02,0001413,187,0,0,0,187,0
UR1US,US,000,02,0001414,2800,0,0,0,2800,0
UR1US,US,000,02,0001415,467,0,0,0,467,0
UR1US,US,000,02,0001416,3535,0,0,0,3535,0
UR1US,US,000,02,0001420,58,0,0,0,58,0
UR1US,US,000,02,0001421,3770,0,0,0,3770,0
UR1US,US,000,02,0001428,27,0,0,0,27,0
UR1US,US,000,02,0001429,610,0,0,0,610,0
UR1US,US,000,02,0001430,391,0,0,0,391,0
